,LLOC,MATH-1405,MATH-1421
src/main/java/org/apache/commons/math4/exception/NumberIsTooLargeException.java,30,0,0
src/main/java/org/apache/commons/math4/exception/NumberIsTooSmallException.java,30,0,0
src/main/java/org/apache/commons/math4/exception/OutOfRangeException.java,27,0,0
src/main/java/org/apache/commons/math4/exception/TooManyEvaluationsException.java,9,0,0
src/main/java/org/apache/commons/math4/exception/TooManyIterationsException.java,9,0,0
src/main/java/org/apache/commons/math4/exception/ZeroException.java,12,0,0
src/main/java/org/apache/commons/math4/filter/DefaultMeasurementModel.java,26,0,0
src/main/java/org/apache/commons/math4/filter/DefaultProcessModel.java,66,0,0
src/main/java/org/apache/commons/math4/filter/KalmanFilter.java,148,0,0
src/main/java/org/apache/commons/math4/filter/MeasurementModel.java,6,0,0
src/main/java/org/apache/commons/math4/filter/ProcessModel.java,10,0,0
src/main/java/org/apache/commons/math4/fitting/AbstractCurveFitter.java,57,0,0
src/main/java/org/apache/commons/math4/fitting/GaussianCurveFitter.java,215,0,0
src/main/java/org/apache/commons/math4/fitting/HarmonicCurveFitter.java,183,0,0
src/main/java/org/apache/commons/math4/fitting/PolynomialCurveFitter.java,53,0,0
src/main/java/org/apache/commons/math4/fitting/SimpleCurveFitter.java,55,0,0
src/main/java/org/apache/commons/math4/fitting/WeightedObservedPoint.java,22,0,0
src/main/java/org/apache/commons/math4/fitting/WeightedObservedPoints.java,24,0,0
src/main/java/org/apache/commons/math4/fraction/BigFraction.java,480,0,0
src/main/java/org/apache/commons/math4/fraction/BigFractionField.java,30,0,0
src/main/java/org/apache/commons/math4/fraction/Fraction.java,319,0,0
src/main/java/org/apache/commons/math4/fraction/FractionConversionException.java,12,0,0
src/main/java/org/apache/commons/math4/fraction/FractionField.java,30,0,0
src/main/java/org/apache/commons/math4/genetics/AbstractListChromosome.java,31,0,0
src/main/java/org/apache/commons/math4/genetics/BinaryChromosome.java,44,0,0
src/main/java/org/apache/commons/math4/genetics/BinaryMutation.java,19,0,0
src/main/java/org/apache/commons/math4/genetics/Chromosome.java,32,0,0
src/main/java/org/apache/commons/math4/genetics/ChromosomePair.java,20,0,0
src/main/java/org/apache/commons/math4/genetics/CrossoverPolicy.java,5,0,0
src/main/java/org/apache/commons/math4/genetics/CycleCrossover.java,72,0,0
src/main/java/org/apache/commons/math4/genetics/ElitisticListPopulation.java,44,0,0
src/main/java/org/apache/commons/math4/genetics/Fitness.java,4,0,0
src/main/java/org/apache/commons/math4/genetics/FixedElapsedTime.java,23,0,0
src/main/java/org/apache/commons/math4/genetics/FixedGenerationCount.java,23,0,0
src/main/java/org/apache/commons/math4/genetics/GeneticAlgorithm.java,86,0,0
src/main/java/org/apache/commons/math4/genetics/InvalidRepresentationException.java,9,0,0
src/main/java/org/apache/commons/math4/genetics/ListPopulation.java,90,0,0
src/main/java/org/apache/commons/math4/genetics/MutationPolicy.java,5,0,0
src/main/java/org/apache/commons/math4/genetics/NPointCrossover.java,67,0,0
src/main/java/org/apache/commons/math4/genetics/OnePointCrossover.java,39,0,0
src/main/java/org/apache/commons/math4/genetics/OrderedCrossover.java,64,0,0
src/main/java/org/apache/commons/math4/genetics/PermutationChromosome.java,5,0,0
src/main/java/org/apache/commons/math4/genetics/Population.java,9,0,0
src/main/java/org/apache/commons/math4/genetics/RandomKey.java,126,0,0
src/main/java/org/apache/commons/math4/genetics/RandomKeyMutation.java,20,0,0
src/main/java/org/apache/commons/math4/genetics/SelectionPolicy.java,5,0,0
src/main/java/org/apache/commons/math4/genetics/StoppingCondition.java,4,0,0
src/main/java/org/apache/commons/math4/genetics/TournamentSelection.java,41,0,0
src/main/java/org/apache/commons/math4/genetics/UniformCrossover.java,52,0,0
src/main/java/org/apache/commons/math4/geometry/Point.java,7,0,0
src/main/java/org/apache/commons/math4/geometry/Space.java,7,0,0
src/main/java/org/apache/commons/math4/geometry/Vector.java,26,0,0
src/main/java/org/apache/commons/math4/geometry/VectorFormat.java,102,0,0
src/main/java/org/apache/commons/math4/linear/AbstractFieldMatrix.java,821,0,0
src/main/java/org/apache/commons/math4/linear/AbstractRealMatrix.java,774,0,0
src/main/java/org/apache/commons/math4/linear/AnyMatrix.java,6,0,0
src/main/java/org/apache/commons/math4/linear/Array2DRowFieldMatrix.java,377,0,0
src/main/java/org/apache/commons/math4/linear/Array2DRowRealMatrix.java,395,0,0
src/main/java/org/apache/commons/math4/linear/ArrayFieldVector.java,618,0,0
src/main/java/org/apache/commons/math4/linear/ArrayRealVector.java,636,0,0
src/main/java/org/apache/commons/math4/linear/BiDiagonalTransformer.java,232,0,0
src/main/java/org/apache/commons/math4/linear/BlockFieldMatrix.java,1111,0,0
src/main/java/org/apache/commons/math4/linear/BlockRealMatrix.java,1133,0,0
src/main/java/org/apache/commons/math4/linear/CholeskyDecomposition.java,155,0,0
src/main/java/org/apache/commons/math4/linear/ConjugateGradient.java,111,0,0
src/main/java/org/apache/commons/math4/linear/DecompositionSolver.java,7,0,0
src/main/java/org/apache/commons/math4/linear/DefaultFieldMatrixChangingVisitor.java,21,0,0
src/main/java/org/apache/commons/math4/linear/DefaultFieldMatrixPreservingVisitor.java,19,0,0
src/main/java/org/apache/commons/math4/linear/DefaultIterativeLinearSolverEvent.java,49,0,0
src/main/java/org/apache/commons/math4/linear/DefaultRealMatrixChangingVisitor.java,15,0,0
src/main/java/org/apache/commons/math4/linear/DefaultRealMatrixPreservingVisitor.java,13,0,0
src/main/java/org/apache/commons/math4/linear/DiagonalMatrix.java,194,0,0
src/main/java/org/apache/commons/math4/linear/EigenDecomposition.java,559,0,0
src/main/java/org/apache/commons/math4/linear/FieldDecompositionSolver.java,8,0,0
src/main/java/org/apache/commons/math4/linear/FieldLUDecomposition.java,263,0,0
src/main/java/org/apache/commons/math4/linear/FieldMatrix.java,91,0,0
src/main/java/org/apache/commons/math4/linear/FieldMatrixChangingVisitor.java,8,0,0
src/main/java/org/apache/commons/math4/linear/FieldMatrixPreservingVisitor.java,8,0,0
src/main/java/org/apache/commons/math4/linear/FieldVector.java,44,0,0
src/main/java/org/apache/commons/math4/linear/FieldVectorChangingVisitor.java,7,0,0
src/main/java/org/apache/commons/math4/linear/FieldVectorPreservingVisitor.java,7,0,0
src/main/java/org/apache/commons/math4/linear/HessenbergTransformer.java,121,0,0
src/main/java/org/apache/commons/math4/linear/IllConditionedOperatorException.java,10,0,0
src/main/java/org/apache/commons/math4/linear/IterativeLinearSolver.java,57,0,0
src/main/java/org/apache/commons/math4/linear/IterativeLinearSolverEvent.java,19,0,0
src/main/java/org/apache/commons/math4/linear/JacobiPreconditioner.java,64,0,0
src/main/java/org/apache/commons/math4/linear/LUDecomposition.java,224,0,0
src/main/java/org/apache/commons/math4/linear/MatrixDimensionMismatchException.java,26,0,0
src/main/java/org/apache/commons/math4/linear/MatrixUtils.java,525,0,0
src/main/java/org/apache/commons/math4/linear/NonPositiveDefiniteMatrixException.java,28,0,0
src/main/java/org/apache/commons/math4/linear/NonPositiveDefiniteOperatorException.java,10,0,0
src/main/java/org/apache/commons/math4/linear/NonSelfAdjointOperatorException.java,10,0,0
src/main/java/org/apache/commons/math4/linear/NonSquareMatrixException.java,10,0,0
src/main/java/org/apache/commons/math4/linear/NonSquareOperatorException.java,9,0,0
src/main/java/org/apache/commons/math4/linear/NonSymmetricMatrixException.java,26,0,0
src/main/java/org/apache/commons/math4/linear/OpenMapRealMatrix.java,176,0,0
src/main/java/org/apache/commons/math4/linear/OpenMapRealVector.java,511,0,0
src/main/java/org/apache/commons/math4/linear/PreconditionedIterativeLinearSolver.java,74,0,0
src/main/java/org/apache/commons/math4/linear/QRDecomposition.java,260,0,0
src/main/java/org/apache/commons/math4/linear/RealLinearOperator.java,15,0,0
src/main/java/org/apache/commons/math4/linear/RealMatrix.java,99,0,0
src/main/java/org/apache/commons/math4/linear/RealMatrixChangingVisitor.java,7,0,0
src/main/java/org/apache/commons/math4/linear/RealMatrixFormat.java,192,0,0
src/main/java/org/apache/commons/math4/linear/RealMatrixPreservingVisitor.java,7,0,0
src/main/java/org/apache/commons/math4/linear/RealVector.java,699,0,0
src/main/java/org/apache/commons/math4/linear/RealVectorChangingVisitor.java,6,0,0
src/main/java/org/apache/commons/math4/linear/RealVectorFormat.java,126,0,0
src/main/java/org/apache/commons/math4/linear/RealVectorPreservingVisitor.java,6,0,0
src/main/java/org/apache/commons/math4/linear/RectangularCholeskyDecomposition.java,82,0,0
src/main/java/org/apache/commons/math4/linear/RRQRDecomposition.java,99,0,0
src/main/java/org/apache/commons/math4/linear/SchurTransformer.java,265,0,0
src/main/java/org/apache/commons/math4/linear/SingularMatrixException.java,9,0,0
src/main/java/org/apache/commons/math4/linear/SingularOperatorException.java,10,0,0
src/main/java/org/apache/commons/math4/linear/SingularValueDecomposition.java,464,0,0
src/main/java/org/apache/commons/math4/linear/SparseFieldMatrix.java,98,0,0
src/main/java/org/apache/commons/math4/linear/SparseFieldVector.java,485,0,0
src/main/java/org/apache/commons/math4/linear/SparseRealMatrix.java,3,0,0
src/main/java/org/apache/commons/math4/linear/SparseRealVector.java,2,0,0
src/main/java/org/apache/commons/math4/linear/SymmLQ.java,437,0,0
src/main/java/org/apache/commons/math4/linear/TriDiagonalTransformer.java,135,0,0
src/main/java/org/apache/commons/math4/ode/AbstractFieldIntegrator.java,249,0,0
src/main/java/org/apache/commons/math4/ode/AbstractIntegrator.java,257,0,0
src/main/java/org/apache/commons/math4/ode/AbstractParameterizable.java,35,0,0
src/main/java/org/apache/commons/math4/ode/ContinuousOutputFieldModel.java,172,0,0
src/main/java/org/apache/commons/math4/ode/ContinuousOutputModel.java,183,0,0
src/main/java/org/apache/commons/math4/ode/EquationsMapper.java,32,0,0
src/main/java/org/apache/commons/math4/ode/ExpandableStatefulODE.java,130,0,0
src/main/java/org/apache/commons/math4/ode/FieldEquationsMapper.java,102,0,0
src/main/java/org/apache/commons/math4/ode/FieldExpandableODE.java,49,0,0
src/main/java/org/apache/commons/math4/ode/FieldODEState.java,45,0,0
src/main/java/org/apache/commons/math4/ode/FieldODEStateAndDerivative.java,20,0,0
src/main/java/org/apache/commons/math4/ode/FieldSecondaryEquations.java,10,0,0
src/main/java/org/apache/commons/math4/ode/FirstOrderConverter.java,27,0,0
src/main/java/org/apache/commons/math4/ode/FirstOrderDifferentialEquations.java,8,0,0
src/main/java/org/apache/commons/math4/ode/FirstOrderFieldDifferentialEquations.java,7,0,0
src/main/java/org/apache/commons/math4/ode/FirstOrderFieldIntegrator.java,30,0,0
src/main/java/org/apache/commons/math4/ode/FirstOrderIntegrator.java,11,0,0
src/main/java/org/apache/commons/math4/ode/JacobianMatrices.java,237,0,0
src/main/java/org/apache/commons/math4/ode/MainStateJacobianProvider.java,7,0,0
src/main/java/org/apache/commons/math4/ode/MultistepFieldIntegrator.java,180,0,0
src/main/java/org/apache/commons/math4/ode/MultistepIntegrator.java,190,0,0
src/main/java/org/apache/commons/math4/ode/ODEIntegrator.java,23,0,0
src/main/java/org/apache/commons/math4/ode/ParameterConfiguration.java,20,0,0
src/main/java/org/apache/commons/math4/ode/Parameterizable.java,6,0,0
src/main/java/org/apache/commons/math4/ode/ParameterizedODE.java,5,0,0
src/main/java/org/apache/commons/math4/ode/ParameterizedWrapper.java,37,0,0
src/main/java/org/apache/commons/math4/ode/ParameterJacobianProvider.java,8,0,0
src/main/java/org/apache/commons/math4/ode/ParameterJacobianWrapper.java,52,0,0
src/main/java/org/apache/commons/math4/ode/SecondaryEquations.java,9,0,0
src/main/java/org/apache/commons/math4/ode/SecondOrderDifferentialEquations.java,5,0,0
src/main/java/org/apache/commons/math4/ode/SecondOrderIntegrator.java,9,0,0
src/main/java/org/apache/commons/math4/ode/UnknownParameterException.java,14,0,0
src/main/java/org/apache/commons/math4/optim/AbstractConvergenceChecker.java,21,0,0
src/main/java/org/apache/commons/math4/optim/AbstractOptimizationProblem.java,45,0,0
src/main/java/org/apache/commons/math4/optim/BaseMultiStartMultivariateOptimizer.java,98,0,0
src/main/java/org/apache/commons/math4/optim/BaseMultivariateOptimizer.java,72,0,0
src/main/java/org/apache/commons/math4/optim/BaseOptimizer.java,84,0,0
src/main/java/org/apache/commons/math4/optim/ConvergenceChecker.java,4,0,0
src/main/java/org/apache/commons/math4/optim/InitialGuess.java,10,0,0
src/main/java/org/apache/commons/math4/optim/MaxEval.java,17,0,0
src/main/java/org/apache/commons/math4/optim/MaxIter.java,17,0,0
src/main/java/org/apache/commons/math4/optim/OptimizationData.java,2,0,0
src/main/java/org/apache/commons/math4/optim/OptimizationProblem.java,7,0,0
src/main/java/org/apache/commons/math4/optim/PointValuePair.java,40,0,0
src/main/java/org/apache/commons/math4/optim/PointVectorValuePair.java,52,0,0
src/main/java/org/apache/commons/math4/optim/SimpleBounds.java,24,0,0
src/main/java/org/apache/commons/math4/optim/SimplePointChecker.java,44,0,0
src/main/java/org/apache/commons/math4/optim/SimpleValueChecker.java,36,0,0
src/main/java/org/apache/commons/math4/optim/SimpleVectorValueChecker.java,43,0,0
src/main/java/org/apache/commons/math4/random/CorrelatedRandomVectorGenerator.java,61,0,0
src/main/java/org/apache/commons/math4/random/GaussianRandomGenerator.java,14,0,0
src/main/java/org/apache/commons/math4/random/HaltonSequenceGenerator.java,66,0,0
src/main/java/org/apache/commons/math4/random/NormalizedRandomGenerator.java,4,0,0
src/main/java/org/apache/commons/math4/random/RandomGenerator.java,15,0,0
src/main/java/org/apache/commons/math4/random/RandomUtils.java,170,0,0
src/main/java/org/apache/commons/math4/random/RandomVectorGenerator.java,4,0,0
src/main/java/org/apache/commons/math4/random/RngAdaptor.java,101,0,0
src/main/java/org/apache/commons/math4/random/SobolSequenceGenerator.java,160,0,0
src/main/java/org/apache/commons/math4/random/StableRandomGenerator.java,71,0,0
src/main/java/org/apache/commons/math4/random/SynchronizedRandomGenerator.java,52,0,0
src/main/java/org/apache/commons/math4/random/UncorrelatedRandomVectorGenerator.java,34,0,0
src/main/java/org/apache/commons/math4/random/UniformRandomGenerator.java,14,0,0
src/main/java/org/apache/commons/math4/special/BesselJ.java,377,0,0
src/main/java/org/apache/commons/math4/stat/Frequency.java,191,0,0
src/main/java/org/apache/commons/math4/stat/StatUtils.java,213,0,0
src/main/java/org/apache/commons/math4/transform/DctNormalization.java,5,0,0
src/main/java/org/apache/commons/math4/transform/DftNormalization.java,5,0,0
src/main/java/org/apache/commons/math4/transform/DstNormalization.java,5,0,0
src/main/java/org/apache/commons/math4/transform/FastCosineTransformer.java,80,0,0
src/main/java/org/apache/commons/math4/transform/FastFourierTransformer.java,230,0,0
src/main/java/org/apache/commons/math4/transform/FastHadamardTransformer.java,76,0,0
src/main/java/org/apache/commons/math4/transform/FastSineTransformer.java,73,0,0
src/main/java/org/apache/commons/math4/transform/RealTransformer.java,11,0,0
src/main/java/org/apache/commons/math4/transform/TransformType.java,5,0,0
src/main/java/org/apache/commons/math4/transform/TransformUtils.java,69,0,0
src/main/java/org/apache/commons/math4/util/BigReal.java,145,0,0
src/main/java/org/apache/commons/math4/util/BigRealField.java,30,0,0
src/main/java/org/apache/commons/math4/util/CentralPivotingStrategy.java,12,0,0
src/main/java/org/apache/commons/math4/util/CombinatoricsUtils.java,63,0,0
src/main/java/org/apache/commons/math4/util/CompositeFormat.java,100,0,0
src/main/java/org/apache/commons/math4/util/Decimal64.java,351,0,0
src/main/java/org/apache/commons/math4/util/Decimal64Field.java,23,0,0
src/main/java/org/apache/commons/math4/util/DefaultTransformer.java,35,0,0
src/main/java/org/apache/commons/math4/util/DoubleArray.java,11,0,0
src/main/java/org/apache/commons/math4/util/FastMath.java,2344,0,0
src/main/java/org/apache/commons/math4/util/FastMathCalc.java,381,0,0
src/main/java/org/apache/commons/math4/util/FastMathLiteralArrays.java,6103,0,0
src/main/java/org/apache/commons/math4/util/Incrementor.java,57,0,0
src/main/java/org/apache/commons/math4/util/IntegerSequence.java,146,0,0
