,LLOC,ab7ce2f6ec40e865f00efcd86e344f95db733acb,fda9f73f94080815ec643d7320c32a905c65db61,fa03d461d1e0b2a4e096b7c9a0e6ed0cf4cc0aa5,712f514f4215356c3453247e65d3a0c0a9018dbf,9feb51fcf63e2700b6f3171ba3c0533cc26d6bf4,cc5cb1cf7d0c6fcb1f1695ba63863231d4f8e613,45e4ba325f7d8b17b366a412dca7c26970834924,4fe97b13f8b4d70fa8eff2953a06f329bdf3c7ac,358bac68c089a12ff346c8665cd860f5fe6a38e9,86c8473bff9759995d539859809f4f456ba6b4aa,53db0052691c71951e8e54caefafb9a2ed677063,cb50d1940f53027fb76da03201ee5dc8cb5c81c2,bc458a5b045a9d3c08a9f82950dd77c69f80859e
ws-security-stax/src/main/java/org/apache/wss4j/stax/impl/SecurityHeaderOrder.java,22,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-stax/src/test/java/org/apache/wss4j/stax/test/FaultTest.java,81,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-stax/src/test/java/org/apache/wss4j/stax/test/PasswordTypeTest.java,123,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-stax/src/test/java/org/apache/wss4j/stax/test/SignatureCertConstaintsTest.java,141,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-stax/src/main/java/org/apache/wss4j/stax/impl/securityToken/KerberosServiceSecurityTokenImpl.java,146,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/AlgorithmSuiteTest.java,234,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/AsymmetricBindingTest.java,359,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/ContentEncryptedElementsTest.java,72,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/DerivedKeyTests.java,417,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/EncryptedElementsTest.java,72,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/EncryptedPartsTest.java,189,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/HttpsTokenTest.java,90,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/IssuedTokenTest.java,478,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/KerberosTokenTest.java,160,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/KeyValueTokenTest.java,146,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/ProtectionOrderTest.java,202,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/RelTokenTest.java,80,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/RequiredElementsTest.java,56,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/RequiredPartsTest.java,59,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SamlTokenTest.java,179,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SecureConversationTokenTest.java,157,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SecurityContextTokenTest.java,157,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SignedElementsTest.java,74,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SignedPartsTest.java,201,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-common/src/main/java/org/apache/wss4j/common/crypto/CryptoFactory.java,154,0,0,0,0,0,0,0,0,0,0,0,1,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SpnegoContextTokenTest.java,80,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/SymmetricBindingTest.java,289,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/TokenProtectionTest.java,583,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-common/src/main/java/org/apache/wss4j/common/crypto/Merlin.java,1031,0,0,0,0,0,0,1,0,0,0,0,1,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/TransportBindingTest.java,191,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/VulnerabliltyVectorsTest.java,108,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/X509TokenTest.java,151,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-web/src/main/java/org/apache/wss4j/web/WssServletContextListener.java,15,0,0,0,0,0,0,0,0,0,1,0,0,0
ws-security-common/src/main/java/org/apache/wss4j/common/util/Loader.java,196,0,0,0,0,0,0,0,0,0,0,0,1,0
ws-security-common/src/main/java/org/apache/wss4j/common/principal/PublicKeyPrincipal.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-common/src/main/java/org/apache/wss4j/common/principal/PublicKeyPrincipalImpl.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-dom/src/test/java/org/apache/wss4j/dom/message/SignatureTest.java,725,0,0,0,0,0,0,0,0,0,0,0,1,0
policy/src/test/java/org/apache/wss4j/policy/tests/AlgorithmSuiteTest.java,69,0,0,0,0,0,0,0,0,0,0,0,0,0
