,LLOC,ab7ce2f6ec40e865f00efcd86e344f95db733acb,fda9f73f94080815ec643d7320c32a905c65db61,fa03d461d1e0b2a4e096b7c9a0e6ed0cf4cc0aa5,712f514f4215356c3453247e65d3a0c0a9018dbf,9feb51fcf63e2700b6f3171ba3c0533cc26d6bf4,cc5cb1cf7d0c6fcb1f1695ba63863231d4f8e613,45e4ba325f7d8b17b366a412dca7c26970834924,4fe97b13f8b4d70fa8eff2953a06f329bdf3c7ac,358bac68c089a12ff346c8665cd860f5fe6a38e9,86c8473bff9759995d539859809f4f456ba6b4aa,53db0052691c71951e8e54caefafb9a2ed677063,cb50d1940f53027fb76da03201ee5dc8cb5c81c2,bc458a5b045a9d3c08a9f82950dd77c69f80859e
policy/src/test/java/org/apache/wss4j/policy/tests/AsymmetricBindingTest.java,85,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/ContentEncryptedElementsTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/EncryptedElementsTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/EncryptedPartsTest.java,123,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/HttpsTokenTest.java,60,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/InitiatorTokenTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/IssuedTokenTest.java,64,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/KerberosTokenTest.java,60,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/KeyValueTokenTest.java,60,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/LayoutTest.java,58,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/PolicyNormalizationTest.java,28,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/RecipientTokenTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/RelTokenTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/RequiredElementsTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/RequiredPartsTest.java,60,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SamlTokenTest.java,64,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SecureConversationTokenTest.java,66,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SecurityContextTokenTest.java,62,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SignedElementsTest.java,115,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SignedPartsTest.java,119,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SpnegoContextTokenTest.java,64,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SupportingTokensTest.java,70,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/SymmetricBindingTest.java,77,0,0,0,0,0,0,0,0,0,0,0,0,0
